startphrase,ending0,ending1,ending2,ending3,label
We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame,is turned from lights.,turns to the fire.,runs to the hole.,burns through the storm.,3
We see a pile of sticks to the left and see a flint. The person strikes the flint and a flame,runs to the hole.,is turned from lights.,sits on he sawdust.,turns to the fire.,2
Someone sits down between people. Someone,looks oddly at someone.,watches someone walk away.,", with his hands.",starts to record them.,0
"Someone reclines on cushions as people dance in the ballroom, which is lit by hundreds of candles. Someone spins around and faces someone, and they",turn toward the stage.,share a stubborn look.,give a passionate kiss.,enter a crowded room.,2
She sits down at the bar. Someone,closes his eyes and gives it a kiss.,shows how to curl up a new smile.,grabs her jacket and walks off after her.,comes toward the bar and takes a seat.,3
Someone stares forward as she walks away. Someone,"climbs to someone's bed, slipping, fully clothed.",runs towards the base of the snitch.,"tears off his stick, then walks away.","raises her arms, then leaves the room.",3
"Looking over her shoulder, she spies Wennerstrom getting out. As he takes out a cellphone, someone",glances across the room.,folds his makeup down.,writes on the journal.,enters a resigned sneer.,0
He stops and glances around. A chair,obscures someone from his view.,shows someone near a window.,is sitting next to him.,is shown in arm tape.,0
"Someone holds someone up as they leave the photo area. On the dance floor, people",run past a shabby bus.,carry someone on the bed.,look in and around her.,face each other and shout.,3
"He grabs her, turns her roughly. She",eyes the ledge below.,beats his arms away.,tumbles to the bottom.,knocks her husband over.,1
"With his arms crossed at his back, he regards the boys frankly. Someone",props his arm on his neck.,shakes the flask together and sighs.,turns and glares at the woman.,dries his hands and claps stage.,2
"Frowning, someone runs a hand through her mussed hair. She",eyes someone and nods.,turns to her computer.,smiles at someone fondly.,reaches for her leg.,1
"Frowning, someone runs a hand through her mussed hair. She",smiles at someone fondly.,eyes someone and nods.,glares at her father.,reaches for her leg.,2
"Players walks from the dressing rooms and are in the field playig. players are stading in line clapping at the end of the game, results",are then shown on screen.,are watching from the beach.,are shown in the end.,for the ball are shown.,2
"Players walks from the dressing rooms and are in the field playig. players are stading in line clapping at the end of the game, results",are shown in the background.,for the ball are shown.,are watching from the beach.,are then shown on screen.,0
First different kinds pool balls are shown lined up. Then the boy,hits a tennis on the wall and gets a shot.,throws a shot of water and waves to the judges.,starts to play pool all by himself with the balls.,talks while demonstrates how to be demonstrated by demonstrating sports.,2
We see a man talking to the camera while holding an accordion. The man then plays the accordion and we,see the screen looking on.,see the ending title screen.,see some of the band.,see a man playing guitar.,2
A woman is sitting at a desk. A man sitting in front of her,is playing a harmonica.,stands on her desk.,trying to block something.,is throwing a cat.,0
She hands another racket to a friend. She,snatches up a phone.,is not really playing.,runs out of frame.,drinks some more whiskey.,1
"Someone, dressed in dark trousers and a pale cream shirt, waistcoat and skullcap emerges from a doorway. He",walks through the market.,goes to a cooler.,blows on the trigger.,finds a vulnerable face.,0
"Someone, dressed in dark trousers and a pale cream shirt, waistcoat and skullcap emerges from a doorway. He",goes to a cooler.,finds a vulnerable face.,blows on the trigger.,disappears down the stairs.,3
"He reaches in his pocket, then remembers that he gave his money to someone. He",stares at the broken boy.,stands and glances at it.,slumps over onto the ground.,turns sideways to face her.,3
"Someone reaches the doorway and is suddenly brought up. In the shadows, someone",sits by someone's mat bed.,sees someone glancing at her.,lands slumped in the bed.,comes running deeper and closer.,0
Two people are dancing in a room. They,engage in bouncing music and playing.,are dancing together in the room.,are dancing and dancing with flowers.,spin around on the dance floor.,3
"He falls to one side. Someone, the nurse,",stares at his attacker.,watches his father leave.,runs into the street.,stops to attend him.,3
Someone's mouth hangs open and she shudders. Her lips,spread into a wider smile.,tremble as she finds words.,spread into a little smile.,parted into a serene tangle.,1
Someone's mouth hangs open and she shudders. Her lips,spread into a wider smile.,parted into a serene tangle.,spread into a little smile.,spreading into a gentle smile.,3
The young boy then moves in the middle taking turns with others dancing around. Another man,stands in front of the girl and begins to talk.,walks onto the stage while the other woman continues talking.,is shown jumping in circles as the other boy moves.,jumps over a bar of four shorts and does flips.,2
"The men take one wave after another, their boards cleanly skimming the glassy water beneath their feet. Someone's shoulders",heave as the women congratulate each other.,ripple as he heads over the wave.,heave beneath his helmet as they approach.,heave as he takes in the spectacle.,3
A piano player plays the piano. She,lays her head on one hand.,waves and bows at the crowd.,turns off and claps her hands.,pauses to break her shoulder singing.,1
"Someone sees an open window. A muzzle flash illuminates the window, and someone",looks hard at twigs.,sees his pistol nearby.,reels back before falling.,passes on behind her.,2
A man is seen speaking to the camera while holding onto a stick. He,"falls into the center, then is seen bending down in front of him.",moves all around the wall as more clips are shown of him playing.,points down to balls in front of him as well as his body.,is sitting down in the grass while the camera pans around the woman.,2
He stares up at the ceiling. Someone,steps out onto the balcony.,"steps from someone, who smiles.",wears a smooth red outfit.,nods and lifts his glass.,0
A group of girls are standing in a gym. They,are swinging on a rope in a competition.,attempt on a mat and begin jump roping.,are doing a routine for the crowd watching.,are doing a cheerleading routine in a crowd.,2
"The elevator opens and someone and someone spill out, almost running into a steward. Someone",is holding his gun.,spies someone with someone.,sorts through the throng.,sprints across the road.,0
"He leans against the barn, then glances back at the house. He","glances at her, anxiously.",enters in the kitchen.,crosses to an door.,gives a mischievous grin.,2
A man is sitting on a couch drinking a beer. He,puts a cigarette in his mouth.,raises the drink in his hand.,is lifted up and kiss someone.,puffs into the cigarette then exhales.,1
Someone appears wheeling a barrow. Someone's sword,falls off his back.,has caught the flagpole.,falls from the eagle.,comes out in flames.,0
A woman is talking in the front yard. She,starts cleaning the table and kneels down.,is pushing a lawnmower in a backyard.,is pushing a bucket across the lawn.,is showing how to wrap a basket.,1
A second bird flies to his other hand and they put lights on the tree. The young man,opens a lion's cage.,turns a hand knob.,rubs the bird's head.,falls on his feet.,2
They compete intensely at a fast pace. The man of the red team,wins all four times.,takes a five score.,is acting so comfortably.,does a big jump.,0
They compete intensely at a fast pace. The man of the red team,does a big jump.,takes a five score.,is acting so comfortably.,runs towards the goal.,3
The family enjoys eating the desert together. The people in the restaurant laugh at the man and he,starts cooking with the children.,wonders what they are doing.,gestures to her eating it.,returns one with a chicken.,1
Someone sweeps someone out of their way. The incorporeal figures,remain out in the cockpit.,begin to appear and halt.,disappear above the bridge rail.,sit petrified on their necks.,1
"Pausing, the human team members turn. He",starts to assist him.,drinks and conversing politely.,gives a new one.,gazes at her lovingly.,0
The Gryffindor supporters are ecstatic. The Slytherin captain,puts down the kindly tea.,"marches off, craning his neck.",joins her on the stage.,aims again for the goal.,3
He plays hopscotch to pick it up. A little kid,makes some steps inside a home.,catches a green on a playground.,runs around in front of him.,plays ice cream in the clear.,2
Meet is placed into a pot. vegetables,are added to the pot.,are put into the oven.,are added to the pasta.,are added to the meat.,0
She bangs her head on a lamp above her. She,is finished for her trip.,is nowhere to be seen.,advances dimly illuminating her cigarette.,puts down two heavy bags.,3
A boy is talking in front of a camera in his room. He,"smokes a cigarette, then blows the smoke from his mouth.",went down and apparate about tall bushes and watching him.,uses a knife through tools on top of the bushes.,shows a text message to the camera from the camera.,0
He tugs out more weeds. He,grabs it and tugs off.,draws himself to his feet.,is hurled over a roof.,smiles and carries on working.,3
They travel on an under ground railway. The goblin guide,gets to the feet.,gets off the train.,gallops along the snow.,them in their wake.,1
A woman is shown leaning against a wall. Several ballerinas,are out on the screen.,are shown in the water.,are playing in a park.,are shown in a room.,3
"He gives a thoughtful look. Now wearing his suit and jacket, he",scurries down some stairs.,carries a trash bag.,uses an outdoor mirror.,leans in a mirror.,0
A camera is seen moving closer to a playground and shows a woman going down a slide. A dog rides down with her and another dog,runs past a person.,chases after the baby.,comes out the view.,pass behind the girl.,0
A camera is seen moving closer to a playground and shows a woman going down a slide. A dog rides down with her and another dog,comes out the view.,pass behind the girl.,chases after the baby.,walks around the area.,3
Someone faces Blond who returns his gaze remorselessly. Someone tosses the notebook over and it,heads back to someone.,drops on the table.,shows someone standing up.,rises on the table.,1
Someone faces Blond who returns his gaze remorselessly. Someone tosses the notebook over and it,shows someone standing up.,heads back to someone.,lands in the dirt.,rises on the table.,2
A man is throwing darts inside a room. Another man,is throw darts in a field.,enters and approaches a dart board.,is throwing darts in the camera.,is throwing darts at a dart.,1
The black shiny surface on which he is lying begins to crease and sag. Water,rains down on him.,arms are now carved.,flicker on the bottom.,picks up another oar.,0
"She puts down her bag, reaches for the binoculars, takes them out the case. She","comes down the stairs, brings them to him.",walks to the bathroom in her modest kitchen.,"unwraps it, then tosses it aside and leaves.",opens up and turns back toward the entrance.,0
"A soldier kicks one of the cripples who can't go on any more. Then a whistle blows, a policeman stops the traffic, the barrier swings open and people",sprints thoroughly about high speed.,pass for the opposing team.,get stuck to the bottom.,swarm across in both directions.,3
The station is visible about sixty yards away. Ten or twelve cars,are parked until the door lights out.,are tossed in by a violent someone.,are on either side of the road.,stand and run out into the snow.,2
"People are conducting a bond rally from the top of an Army tank. Someone, in uniform,",runs to his front door.,sits slumped on the ground.,jumps up and gets out.,stands by a policeman's poster.,1
"People are conducting a bond rally from the top of an Army tank. Someone, in uniform,",runs to his front door.,stands by a policeman's poster.,jumps up and gets out.,moving cautiously with fixed bayonet.,3
"Someone hurries up to meet him. Handing someone the gun, someone",runs off to investigate.,shoots an elegant look.,appears out of sight.,takes out her sawed.,0
Someone makes a left turn into traffic. She,walks into another pawn shop.,scans the busy intersection worriedly.,come in front of them.,walks farther towards the restaurant.,1
Someone clutches his bleeding shoulder. Someone,turns and sees us.,massages his own hand.,drops his torch again.,stands in a corridor.,1
Two girls are standing on a grass field. One of the girls,notices on the grass.,starts doing cheerleading moves.,holds her elephant paws.,turns and bumps forward.,1
"Now, on a basketball court with a row of treadmills at one end, someone rides a bicycle in circles. He shoots the basketball from the bike and it",lands over the block.,goes through the basket.,bounces off the floor.,goes to the bottom.,1
He takes swigs from a liquor bottle. A catch of junk,appears on the prow frame.,jumps out of his eye.,is dumped onto the deck.,skateboard hangs over the automaton.,2
"This video shows 9 different ways humans can do the monkey bars. This woman is wearing a tank top, leggings, and gym shoes and she",does n't get it to go.,does it the regular way first.,does n't like to be tall.,can't see what they are doing.,1
Someone shifts her shocked gaze. She,lowers them to her eyes.,moves down the serving line.,"collapses, holding her brother's sigh.",lies back on her laptop.,1
A crowd of people is watching them. A person in a red shirt,is sitting across from them.,walks up next to them.,is sitting down watching them.,seems to be playing shuffleboard.,2
She nods at the phone. Someone,stops on the tracks and looks away.,picks up the phone and turns around.,picks up her coffee and notices them.,"shrugs inanely, then bows to her daughter.",1
"He steps through the arched gate and crosses a narrow street, where he meets Rene someone. Someone",takes off the white ocean cloak.,steps up to someone front door.,spots someone at her front door.,leads someone down a sidewalk ledge.,1
"Glancing over, someone thrusts his middle finger toward someone. Someone",rolls to a halt.,disappears at a distance.,unhappily strokes someone's cheek.,advances in the suv.,3
"There are several spectators and judges watching him perform. After the man finishes his stunts, he gets off the stilts and the judges",go over the bar.,write down the scores.,are being interviewed watching.,comes over to him.,1
She swings her arms and thrusts her hips. He,looks down at someone.,lands on the mat.,"has long, dark hair.",hands down his arms.,0
Grainy footage of him getting zapped. Someone,stares at the bird.,is into troubled construction.,somersaults towards the splayed.,has the a policeman.,0
Their pursuer tries to work out where they've gone. She,pulls the van down to the ground.,"pouts sexily, and gestures to the case.",pulls out a stone from a shed.,swerves through a brief explosion of water.,1
"Later, they approach the clinic together. Someone","turns back to someone, brow creased.","freezes, staring up at the automaton.",uses a flashlight on his computer.,crosses his cubicle and sits up.,0
"Someone shifts his confused stare. Downstairs, someone and someone",lie curled up in bed.,"sit in the kitchen, smoking.",come over to the apartment.,emerge from a dance balloon.,0
The little boy walks away smiling. The boy,comes to help him.,returns to speaking away.,tugs at the rope.,talks to the camera.,3
And they head towards a waiting car. Someone,swings open a car door.,dips quickly into the water.,peers at the cove display.,sits staring at a laptop.,0
"In the woods near a high bridge, people find an old ranger hut. They",rocks back and forth.,get under the water.,force open the door.,stretch out in two.,2
A person falls out of their raft. A man holding a selfie stick,walks down the slope.,is attached to them.,is on the grass.,is riding a raft.,3
A person falls out of their raft. A man holding a selfie stick,walks down the slope.,appears on the bridge.,is attached to them.,is on the grass.,1
He opens the door for her. Someone's minivan,is parked out front.,sits on the street.,pulls back at longbourn.,goes into a garage.,0
She opens her coat and touches her belly. Someone's clear blue eyes,are covered with amusement.,drift slightly to prowl.,glide across her muscles.,scan around the room.,0
"A man is very concentrated playing pool, while two men and a lady have a conversation behind him. He joins them in the conversation and they",stand up and talk again.,are very embarrassed by someone.,are having a good time.,'re putting the sunscreen on.,2
Someone puts his fingers around the bony thumb. The hand suddenly,rises from the tattoo.,crawls onto his breast.,"closes, clutching him tightly.",peaks into someone's glass.,2
Woman is in a shower spreading soap and water in her arms. woman,is running in front of the sink.,is wiping a sink with blue towel.,is shaving a woman's chest and ankles.,is shaving her legs on the bathtub.,3
"A man in white shirt and white lifevest is sitting in a single orange raft. The man in a raft is going against the water waves, he paddles and the raft",rub along the water.,is pulled back down.,comes close to end.,is turning in circle.,3
"He carves up the wave, descends to the base, then rides up the face for another turn. Someone","allows the white water to surround him, then crouches low and glides out of it.",crosses to the landing on the far edge of a platform and to his platform.,"dangling, as he makes his way over a small stone bridge onto the ground below.","takes the leap through the air and runs out, it soars over the city below.",0
"He leaps onto his horse and they charge off. Someone comes running into view, still dragging someone, who sometimes stumbles, but he",grabs the spray bottle.,lands on a branch.,keeps forcing her along.,falls heavily in exhaustion.,2
People are dancing on a stage. People in the audience,are watching him clap.,watching them hang up.,are watching them watching.,are raising their hands.,3
People are dancing on a stage. People in the audience,are watching them watching.,watching them hang up.,are clapping and applaud.,are watching him clap.,2
"As the train disappears, he sees someone standing in front of a billboard advertising Divine Magic Perfume. Someone","slows down, looking about from four times.","glares at someone, who stands opposite someone.",read first; through some empty square stacks.,releases a cord attached to his ankles.,1
"As the train disappears, he sees someone standing in front of a billboard advertising Divine Magic Perfume. Someone","slows down, looking about from four times.",takes it then fastens down his blouse.,smiles and crosses over to join him.,releases a cord attached to his ankles.,2
A man sits at a table and a woman moves a box from him. He puts his hands on the table then,assembles the knife up in sharpener.,turns to look at the camera.,takes a drink with a pen.,puts other silver photos in it.,1
A man sits at a table and a woman moves a box from him. He puts his hands on the table then,puts other silver photos in it.,assembles the knife up in sharpener.,begins to solve a rubix cube.,takes a drink with a pen.,2
We see the cameraman's shadow. A person in blue,is mowing the lawn.,runs to the tree.,walks past on screen.,comes next to him.,0
"As someone steps away, someone's glare follows him. He",brings the gun upward.,looks into someone's hand.,knocks on a tree.,looks over her shoulder.,3
And he brushes it away. Someone,"stares, slack - jawed.",allows a faint smile.,gives a mailbag wink.,gives quick and fluffy.,1
Someone leans into view with wide eyes. He,unwraps her tac then tosses it off.,crosses a white table with long shadows.,"slips inside, then creeps to an alcove.",shows the list of heavily guarded spiders.,2
A lady does a split on the floor and they finish. The ending title,replay over 2 clips.,comes at the screen.,plays on a screen.,appears on the screen.,3
They share a little smile. She,gazes at his distant reflection.,glances around then hurries off.,looks down at his hand.,gives them a better look.,2
Someone punches the hysterical man in the face until he releases someone. Someone,steps away from them.,nods toward the crowd.,stares at the sky.,shoots at his rat.,0
"A smaller boy runs on stage, confused. A man with a microphone",is playing a white flute.,is standing against his tree.,talks to the young kid.,walks closer to the title.,2
Someone wends his way through the dancing couples toward a supper table. He and someone,are carrying plates and pies.,give each other high fives.,step into a swimming pool.,are out of their way.,0
"Although he is not the vibrant man we've seen before, it's not as bad we feared. The illness","has been quick, and left him largely intact.",is completely extreme outdoors for cub past words.,do it a third time before they finish.,comes with details come out of someone's mind.,0
Someone wakes him and rises primly to her feet. She,rocks and leaps across the fallen victim from another angle.,"steps out into the hallway, blowing dust into his bedroom.",is approached by women in white uniforms and nurses' hats.,plants a kiss on the top of her clenched legs.,2
We see a lady talking to the camera. The lady,puts the contact lens in her eye.,buy places and cuts a toy cake.,stands at the end of the stairs.,puts the contact lens in his eye.,0
"He ducks a thrown rock, which smashes into a statue. Someone",takes the silver and gold.,drops into the white tower.,runs toward the open door.,points fearfully at a statue.,3
"Someone stares at someone, who taps a fist on the bedside table. Someone",looks over her shoulder at someone.,loses his expression as everyone steps.,ignores her and shifts restlessly up.,lobs the rubik's cube to someone.,2
"Someone races across the Wooden Wharf, followed by the ringwraiths. He",goes to the staircase.,turns on the spot.,leaps into the ferry.,begins to crumble together.,2
"Prawn someone wears a hospital gown and scrub bottoms as he races over a hill beside the highway. Some garbage, finds a trash bag and",drops it on the ground.,strikes one with the basket.,starts motocross toward the cop.,opens the door to someone.,0
"Someone buries his face in her shoulder. As she pulls away, he",leans forward and kisses him.,kisses him on the cheek.,holds on to her hand.,"finds her naked, watching hungrily.",2
As he presses a silent alarm under the lip of his counter. Someone,meets the penguins squarely.,honks his horn furiously.,aims at someone's hand.,searches for alien effects.,2
A woman in a black shirt is dancing. She,begins playing the violin.,is playing a violin.,is twirling a baton.,is playing a flute.,2
Someone faces someone and shakes his head. Someone,goes over to someone.,reacts to the applause.,hangs over his cell.,spots a map envelope.,0
One of the men washes the dog. The other man,records what is happening.,points to the container.,wiped his shirt again.,throws some other products.,0
"At night, someone takes out the trash behind Pleasure Pizza. A large group of teens",ride on the suv.,sit on a hilltop.,stand in the sidewalk.,creeps up behind them.,2
"At night, someone takes out the trash behind Pleasure Pizza. A large group of teens",sit on a hilltop.,ride past on bicycles.,gather in the highway.,ride on the suv.,1
A stands woman by a ball and sets it in place. Another woman appears and they,swing around in a circle.,continue talking about the game.,continue to fight each other.,are awarded awards and talking.,1
Someone climbs a ladder on the platform. Someone,wrestles someone to a mat.,goes into camp behind him.,lifts himself into the air.,sits down and glances over.,0
"We see more words on the screen. Two men hug each other, and the man in the tanktop",gets a gold trophy.,brings a new match.,adds the newscaster's hands.,goes to the bottom.,0
"She opens her bag and pulls out the stun gun. When the troll does n't move, she",checks his heartbeat and tries again.,pulls her gun off her body.,moves away from the wood site.,does n't say anything to it.,0
"She settles onto a window bench. Closing his eyes, someone",puts on his spectacles.,enters and joins her.,ventures anxiously on him.,hands him the pager.,1
"Someone leads his men out at a march. Now, someone",figures him through a clearing.,snatches the bomb cables nearby.,waits in a car chamber.,leads someone down marble steps.,3
The army of cattle moves off. Someone,stops the meager total.,drives away from them.,lets the national anthem.,climb off the train.,1
Someone comes to a halt. An oil wales,come to a stand still.,loads something onto the side.,fills the goblin warrior's portrait.,blazes on its red hat.,0
She puts her arm around someone's shoulder. Someone and daughter,"elves, at the river.",share a slight smile.,share a tender stare.,share a quick glance.,2
Man is climbong a rock wall atached to harness. a group of friends are standing on the field and above them the man,watches using some athletic pole.,is climbing the rock wall.,is standing next to them.,seems to be being hit.,1
A deck hand brings the board and the photographer hands it down to someone. Someone,lies down on his board and paddles away.,wrestles a brown - haired player at someone.,grins at someone and smiles as everyone returns.,looks at his daughter and extends her hand.,0
Someone looks up at the house. His face,is wild with horror.,partly hidden in shadow.,is covered in ash.,surges beneath a wave.,1
He shuts the door behind him. Someone,turns on a lamp.,lies in his bed.,pulls off his hood.,jumps into the room.,1
"Outside the enormous rear life supports move into position. Nearby, someone and the others",go into the gloomy corridor.,walk in towards the hedge.,"put round, catching their breath.","monitor him, slowing but puzzle.",1
They run out into the street. Someone,drives someone down a sidewalk.,arrives in front of them.,walks past someone and someone.,is loaded into the cruiser.,1
She speaks to the camera and moves her arms up and down. She,brushes her hands and begins rubbing her back.,continues to move her arms up and down.,continues to play the drums with her hands.,does a final stand and is bowing again.,1
She then begins playing the instrument while a boy watches her from behind. She,continues to play the violin while holding the package tightly around her.,continues playing while playing the instrument while still speaking to the camera.,continues playing the flute and smiles to the camera while looking around.,continues dancing on the floor when another person steps out of frame.,2
"He talks at someone's ample chest. As someone takes a drink, someone",continues to pull away.,shakes his head skeptically.,blocks his doctor's grip.,straightens up the microphone.,1
A person is seen turning her neck to the side and a person wearing gloves holding a needle. The person then,begins tattooing the dog with the electric razor.,pierces the ear of the girl sitting down.,gets the contact lens out of her eyes.,uses a set of sheers for the panel.,1
The girl jumps another square. The girl,jumps a third square.,falls off her feet.,stands thoroughly leg up.,continues speaking while next.,0
A woman puts a hand on a horse. Two girls,follow the little dog up another driveway.,are outdoors in shots fighting and judges.,brush the horse from the other side.,are brushing her teeth in the water.,2
"Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips",touch with an wry smile.,meet a tender tender kiss.,"meet, gazing at each other.",meet in an elegant kiss.,1
"It lands on the station floor, behind the inspector and Maximilian. The inspector",stands and kicks the man overhead.,punches the elk on the head.,"climbs toward it, then faces him.",turns and picks up the wrench.,3
Someone sinks his face into the bowl. Two young girls,lie asleep on their bed.,raise their arms and kiss.,sit down from the stove.,step out of the room.,3
Someone stands frozen in the doorway. Someone,sits down next to the penguin.,looks up at the great beast.,stands slowly towards the packed skyline.,is tending to the wounded someone.,3
"There two old men wearing straw hats, dressed in t - shirts and shorts getting ready to play shuffleboard. There two other men",begin playing and playing indoor tennis.,playing and behind the other man.,play drums outdoors area in exercise.,perform croquet in a chinese event.,1
"Above the bar, someone's white face appears upside down to someone. Someone's",head looks watching someone.,anguished gaze slowly downcast.,fingers clutch his waist.,pointed teeth are contorted.,3
"His hand shakes as he cocks it. Someone stands before him, the gun",pointed at his head.,back into his neck.,tucked under his rocks.,surrounding his firm hand.,0
We see a boy cut open and clean out a pumpkin. The man,shows us how to decorate it.,cuts the wrap with the newspaper.,cleans the shoe with a knife.,blows green paint on the tree.,0
They move back and forth in the confined space. They,twirl and spin as they dance.,sit in an outdoor parking lot.,dip down and get to dance.,step forward on the other side.,0
Someone pulls out and speeds through the garage. A helicopter,flies over district 9.,passes to the ground.,rises from his arena.,rises over her perimeter.,0
As two other ladies make out. Someone,does a plume of smoke.,finds someone in his tuxedo.,scampers down at his feet.,watches with someone and someone.,3
A couple of the throwers lose balance and stumble during their turn. Officials,pass the race to successful raise and face each other.,come to the platform and start placing tools for measuring.,have to shoot at many things inside the governor's office.,jumps down onto the water and talks about their tricks.,1
A clip of a woman applying wallpaper is shown. The woman then,begins to paint its razor.,begins putting wallpaper up wall.,begins speaking to the camera.,demonstrates various rules of moves.,2
A clip of a woman applying wallpaper is shown. The woman then,demonstrates various rules of moves.,begins to paint its razor.,begins putting wallpaper up wall.,wets a piece of wallpaper.,3
"In a bathroom, someone applies makeup to his bruised eye. Someone",puts her reflection on her breasts.,takes someone's cube from the hatch.,blends the makeup on his skin.,reads a departure to the news.,2
"Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone",nods and looks down.,steps on the cross.,enters with a folder.,takes it from someone.,2
"In a sped up motion various clips of a road trip play where we see a long stretch of road at night turning into day, men in a car, and daytime driving. Continuing in a sped up motion we",see a circus bird in the snow.,see the arrival at a ski lodge.,see the skiers walking on a road.,see the tire on a jet ski.,1
Someone goes to sit on the stairs. A smile slowly,travels up his face.,unfolds on her cheeks.,rises from his cheek.,spreads across someone's face.,3
A woman approaches behind her. The woman,pushes someone back backwards.,stops brushing her teeth.,garnishes the food hungrily.,walks out of frame.,1
Onscreen a mustached man kisses a woman. A cowboy,arrives with a tray of flowers.,licks her lips with the pads.,leads the way into the bathroom.,floats him and knits her brow.,0
He is in his kayak paddling downstream. Another rower,appears in the sky.,sets someone's feet nearby.,flies through the air.,appears on the screen.,3
The girl points the camera to the ground. A half manicure hand of another girl,is running along the square.,plays harshly on the wall.,is seen on the floor.,squeezes brown with the brush.,2
"Someone hesitates, then begins. And someone",follows close to someone.,goes back to him.,slowly takes the telegram.,is desperate for someone.,1
"Someone hesitates, then begins. And someone",slowly takes the telegram.,is desperate for someone.,has drawn himself up.,follows close to someone.,2
"He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone",gives a weary blink.,watches from a window.,turns and walks off.,stares at the moon.,1
Someone drives slowly through a suburban neighborhood. Someone,rolls down her window.,hurries into another car.,jumps on one escalator.,enters a dark apartment.,0
Someone bounces in her seat with excitement. He,soars toward the suv.,turns and gets up.,gives a coca wink.,guides the noblewoman up.,1
A ballerina is seen walking out onto a stage and leads into her performing a ballet routine. The girl,begins dancing around the audience and ends with her dancing around.,spins herself around on her shoes while the audience watches her.,continues to dance on the beam while dancing with hula hoops.,continues to style the instrument while looking off into the distance.,1
"The locomotive pulling cattle and goods trucks comes into sight, rolling slowly towards the boundary of the Umschlagplatz and coming to a halt. Among the great throng of people, the people",leap into the abyss.,break through the door.,run down the street.,trudge towards the train.,3
"Someone shoves her friend, then allows a smile. Behind them, someone",laughs at her mother.,trips over her chair.,runs down the stairs.,hesitates for a moment.,3
"Someone flaps her hands in disgust. In his bed, someone",puts a pillow over his face.,drags the babes through the ceremony.,heaves his cream through blonde curls.,leans his lieutenant baring his teeth.,0
Someone tramps through another part of the woods. Twisted roots,scuttle out from under him.,emerge from an approaching engine.,flash across the electronic screen.,lie among the towering trees.,3
"Morning, someone feels someone's flushed brow as she lies in bed. He and someone",get to their feet.,sit in her bed.,"follow, closing their eyes.",share a warm embrace.,3
"Someone kneels down and looks at someone earnestly, his hand on someone's shoulder. Someone","stands, staring at the cameramen.",sits up and sits down.,smiles warmly at his friend.,looks excitedly over the map.,2
Two men are shown cleaning windows on the side of the building. They,rub onto the plaster along white field.,squeegee and wipe down the glass professionally.,sets the set down throughout the process.,are now inside scraping on the ice.,1
Someone rubs someone's back. Someone and someone,stand before the riverside.,stand around a cage.,arrive at tested lair.,reunite in another tub.,3
Man is in a static bike going really fast like practicing for a competition. man,is talking to the man and is standing on the rope going down.,is in a studio day talking to a camera and showing a bow.,falls to his stomach and is seen doing his stunt and doing situps.,stands on the bike to go faster and is looking to the camera.,3
"Inside a market, she closes her eyes as she smells a bunch of fresh basil. Now she",turns to the camera.,fastens her friend's collar.,hands him an envelope.,takes off her bag.,0
