ending1,ending2,ending3,ending4,label
turn toward the stage.,share a stubborn look.,give a passionate kiss.,enter a crowded room.,2
get to get in the water.,have things under the water.,paddle through a river.,are pulled out of the water.,2
step below calm sunlight.,share a soft smile.,run toward the courtroom.,play arm - to - shoulder.,1
is drinking a cup of coffee.,is reading the dishes.,is holding a baby.,adds oil to a pan.,2
glances across the room.,folds his makeup down.,writes on the journal.,enters a resigned sneer.,0
shows someone near a window.,sits at the computer.,is sitting next to him.,is shown in arm tape.,1
finds someone having dinner.,sits in the living room.,sits at his computer.,finds another sizable box.,2
smiles at the press gangster.,wears a troubled look.,drinks from a huge bottle.,picks up someone's phone.,2
falls on the road.,rises from the look car.,crashes into the goal.,fills one of the vehicles.,0
leads someone with someone.,and someone sit down nearby.,wiggles someone's chin.,falls back at his window.,0
are tipped up towards people.,emerge into the water.,litter the dry muddy ground.,appear on the floor.,2
run past a shabby bus.,carry someone on the bed.,look in and around her.,face each other and shout.,3
shakes his head and talks.,slides to the ground.,holds up a towel.,adds water to her other leg.,1
gives a slight smile.,holds up a shaking hand.,smiles and blinks at him.,gives him a message.,2
gives a slight smile.,tilts up her face.,holds up a shaking hand.,gives him a message.,1
eyes the ledge below.,beats his arms away.,tumbles to the bottom.,knocks her husband over.,1
gather on the track.,seem happy to be blindfolded.,are playing the pipes.,watch the parade and applaud.,3
runs over the mission.,puts it over her head.,bumps into the girls.,puts herself in the bag.,1
is lit with a torch.,is displayed on the carpet.,begins to fight in the air.,is filled with ornate stems.,0
is displayed on the carpet.,is placed in a fire.,begins to fight in the air.,is filled with ornate stems.,1
files him from behind.,fell on his back.,turns her turning to see.,knocks back the wine.,3
continues grabing the wax.,slices a white sauce.,cuts a cucumber into slices.,fumbles with the wax.,2
is happy with the conductor.,kicks it across the lot.,is offering their child.,enters with the ball.,1
takes a weak arm.,steps up behind it.,steps into the room.,"steps in, yawning.",2
lands at the bottom.,dismounts to the audience.,jumps high in the air.,claps as she walks away.,3
is in the garage.,are shown on stage.,are in a box.,is shown on a snowy hill.,2
is shown on a snowy hill.,is in the garage.,are shown on stage.,are sitting on the table.,3
eyes someone and nods.,turns to her computer.,smiles at someone fondly.,reaches for her leg.,1
smiles at someone fondly.,eyes someone and nods.,glares at her father.,reaches for her leg.,2
emerges from a girls mouth.,drops to her lips.,clinging to her lower lip.,appears in front of her.,2
gets up and looks at someone.,closes her eyes again.,averts her brimming gaze.,lowers over from her sleeve.,1
are then shown on screen.,are watching from the beach.,are shown in the end.,for the ball are shown.,2
are shown in the background.,for the ball are shown.,are watching from the beach.,are then shown on screen.,0
is disturbed by what he does.,can't take the curtain there.,has not noticed them.,falls quiet and stoops down.,2
is about to rise.,turns back to someone.,drops the keys on the table.,bites down on a cigar.,3
tilts her head and smiles.,runs out of town.,holds out her hand.,shifts her black eyes.,0
jumps and ties branches up.,dismounts and loads the calf.,leads the calf in his arms.,dismounts after the cow.,3
appears remains partly open.,'s in the car.,wanders off to another group.,begins with his arms.,2
gazes into his eyes.,sulks over the horse table.,continues to kiss them.,takes out the door.,0
sulks over the horse table.,"shudders, then falls still.",takes out the door.,continues to kiss them.,1
shoves someone out in bed.,smashes on the pavement.,picked off someone's tail.,pokes into someone's chest.,1
are dark and deserted.,pulls the lawyer's gaze away.,rises to the great staircase.,flies flies into the air.,0
stand by the court area.,cheer as the game continues.,are on the field watching.,watch on the sidelines.,1
reveals all of the bolts.,is open for us.,pop out of the right blinds.,continues in an office.,1
go out to the clinic.,check and rap together.,hurry up to the car.,are at the window.,3
shows someone's body.,continues in an office.,reveals all of the bolts.,pop out of the right blinds.,0
lies on her side asleep.,opens the driver's door.,sits in the passenger seat.,pulls out a chair.,3
opens the driver's door.,lies on her side asleep.,sits at a desk.,sits in the passenger seat.,2
takes her by the hand.,turns.,plows into the waters.,looks at her with concern.,2
pause on a ridge.,hold brooms around her.,mingle by the window.,run down the hill on the run.,0
are flickering wildly.,weave around the concourse.,head down the corridor.,continue to play skyward.,2
writes a map.,giggles with gay abandon.,spots the map book.,reads a note tearfully.,3
is running around too.,walks to the door.,gives him a good look.,wears a concerned expression.,1
opens a shower door.,holds down the grocery bag.,races for the door.,hurries to her room.,2
lies asleep in bed.,drives on the highway.,lies in bed in her underwear.,lies curled up at a bedside.,2
steps forward on her toes.,steps back and sits.,takes back his boater.,flicks her head once more.,1
faces her vet's counters.,steps forward on her toes.,takes back his boater.,flicks her head once more.,3
fights to roll a string.,slings the clay on the floor.,presses open a explosive.,bursts around with his spear.,3
presses open a explosive.,falls from the balcony.,fights to roll a string.,stares at the club.,1
see the screen looking on.,see it up close.,see a man playing guitar.,see the ending title screen.,1
see the screen looking on.,see the ending title screen.,see some of the band.,see a man playing guitar.,2
get out of the plane.,start towards the van.,walk to the off glass.,exchange bundle of sweets.,0
is shown in the water.,is sitting on a camel.,lies on the ground.,is running in the water.,0
is running in the water.,is sitting on a camel.,is sitting in a tube.,walks holding a flint.,2
is rapt with memories.,are draped with a tissue.,are skin and bone.,is filthy and tied.,2
appears out of the shadows.,stands at his entrance.,sits by the breeze.,has started to leave.,0
is playing a harmonica.,stands on her desk.,trying to block something.,is throwing a cat.,0
stands on her desk.,is throwing a cat.,is holding a cup of coffee.,trying to block something.,2
winks and laughs.,rides down a dirt road.,stands and wags its tail.,put hot oil in the pan.,2
enters through the apartment.,looks round with trepidation.,brings them a bucket.,gazes flat at the parents.,1
adjust the store's padlock.,gets out of the car.,leads the accomplice inside.,shuts the door and rushes in.,1
snatches up a phone.,is not really playing.,runs out of frame.,drinks some more whiskey.,1
walks through the market.,goes to a cooler.,blows on the trigger.,finds a vulnerable face.,0
goes to a cooler.,finds a vulnerable face.,blows on the trigger.,disappears down the stairs.,3
laugh like they would meet.,moves past a shack.,are in the ward.,ride through the ash fence.,2
takes a break for someone.,comes out of the room.,talks to one of the cops.,signals to each other.,2
stops and faces his opponent.,returns to the camera.,turns off the monitor.,lunges at the right.,3
has a letter in his hand.,'s crawling with mice.,descends onto the stairs.,goes through the door.,1
stares at the broken boy.,stands and glances at it.,slumps over onto the ground.,turns sideways to face her.,3
steps back into the foyer.,walks out of the kitchen.,turns and kisses his hand.,goes down the staircase.,0
waves his arms victoriously.,smiles with the girls.,sits at her dad's desk.,walks down a large staircase.,1
starts dancing on the ground.,is playing the guitar.,can jump off the skateboard.,is doing flips and flings.,1
pop up the left.,try and attack him again.,turn to face someone.,run up the stairs.,2
go over to leak mountain top.,see the sale screen.,see the water come together.,see a crowd a small screen.,1
heads to the bank.,races to the bathroom window.,dozes off in the end.,walks in carrying her.,3
run tearfully around the kid.,escape from open doors.,force another turk forward.,come out from the table.,2
turns to look at someone.,wrestles him to the floor.,brings him another hammer.,takes his sawed off shotgun.,1
knocks him out of the way.,turns to look at someone.,takes his sawed off shotgun.,brings him another hammer.,0
scamper out of the room.,reappear in the woods.,disappear into the distance.,follow out from the window.,0
sit at a table.,show the bare walls.,cut down in front of someone.,opens and someone enters.,1
sits low in the cycles.,slowly slides to a stop.,is full of dirt lined bushes.,is sniffing the entryway.,2
clips the cats claws.,flips and smooths cats bars.,pets the small dog.,paints her nails black.,0
"wears a fine raincoat, etc.",rolls over to with pain.,falls with her braces.,won't let it drop.,3
gives someone a kiss.,is laden with presents.,strides into someone's room.,steps out of the elevator.,1
stares at his attacker.,watches his father leave.,runs into the street.,stops to attend him.,3
spread into a wider smile.,tremble as she finds words.,spread into a little smile.,parted into a serene tangle.,1
knocks back a lamp.,serves dinner on a plate.,pulls away from someone.,comes out close in his seat.,1
leans on the brick wall.,frowns and makes a shot.,jumps as she drives past.,grins and drives off.,0
lead her off the bridge.,exchange an exasperated look.,step through into a lobby.,watch from a bus window.,1
talks into the microphone.,throws a soccer ball.,sits down in front of him.,talks to a group.,0
is playing a flute.,is playing the guitar.,begins to play the guitar.,shakes hands with the woman.,2
blasts them after it.,pauses to grab the keys.,aims his cross in the air.,pulls out a rifle mask.,1
hold his hand to his mouth.,ends swiftly to lose someone.,drops it on someone 'face.,wraps a coin in the slot.,0
drives off behind her.,join her and someone returns.,seizes someone's attention.,blows someone on her way.,0
"eats potatoes, then leaves.",join her and someone returns.,seizes someone's attention.,blows someone on her way.,0
goes to the fridge.,steps up on a croupier.,puts his head in his hands.,grabs someone 'crumpled hand.,0
gets in the adn.,"hit the ground, cheering.",ran towards the audience.,tries to catch his calf.,2
hurls him into the trucks.,stands by the captain.,gets to his feet.,makes a triple - install.,2
hurls him into the trucks.,heads for the front.,makes a triple - install.,stands by the captain.,1
runs into the mans feet.,lifts her legs again.,helps a boy in the water.,jogs over and claps.,2
land on the grass.,run toward an alley.,hurry out of his enclosure.,run through an opening.,0
rips out a thoughtful case.,stands in a doorway.,shoots at the protruding arm.,slips back behind a wall.,1
gives someone a look.,turns and gawks at someone.,slaps his own face.,pats someone on the back.,3
looks hard at twigs.,sees his pistol nearby.,reels back before falling.,passes on behind her.,2
dances with a man.,sits in a first floor bed.,pulls on his mask.,falls to the ground.,3
angrily dunks his pillow.,runs toward the ceremony.,shoves someone to him.,yells to a stunned someone.,3
kisses someone on the cheek.,looks at her and nods.,turns and looks at the girl.,peers up a set of stairs.,1
hangs up the phone.,looks around the toilets.,throws her on the last can.,looks over his shoulder.,3
lifts their right hand.,wash the shampoo and socks.,check after the man.,does exercises on the rope.,0
are shown on a leaf screen.,are shown on these screen.,come onto the screen.,are shown down a news screen.,2
are shown of the ski lift.,are shown again quickly.,are shown several times.,crash down in a factory.,2
crash down in a factory.,are shown again quickly.,are done by skiers.,are shown of the ski lift.,2
see a before and after.,see a lady in the audience.,see the pancake shaped craft.,see the credits of the video.,0
cuts his hair and attends it.,starts to brush her brush.,is wearing a towel.,picks up the soap.,2
puts a steel key in the door.,takes a pan with her.,checks her bowling card.,comes down the stairs.,3
checks her bowling card.,takes a pan with her.,stands and opens the door.,puts a steel key in the door.,2
adds his money to the pile.,is looking out of a window.,goes to the door.,is puzzled by the sound.,0
curl into a wistful smile.,tremble to one side.,spread in a slight brace.,fix on someone's lap.,0
watches them step away.,sits at her desk.,speaks in a duffle bag.,signals to a waiter.,3
playfully sips her tea.,speaks in a duffle bag.,sits at her desk.,watches them step away.,0
drop him to the ground.,get to their feet.,jump up and down on the mat.,come up on the next image.,0
stares at his reflection.,lifts his head slightly.,stares with mouth open!,shakes his head and head.,1
shakes his head and head.,continues to stare at him.,stares at his reflection.,stares with mouth open!,1
turns the computer beams.,faces someone and info.,holds a cigar as he reads.,pulls a biker out of someone.,2
stand on a podium.,are swimming and the bug.,are cubes with long oars.,swims before each other.,0
turns and shrugs a hand.,slips in close behind.,'s handing 75 pounds.,"glances around, then frowns.",3
jumping up and down.,lay on benches on the beach.,are standing in a pool.,are playing flute playing.,2
lay on benches on the beach.,jumping up and down.,are playing flute playing.,are rowing a inflated boat.,3
is to his left.,"stirs up, its unusual bundle.",is on the fence.,appears on the screen.,0
brush the face of the horse.,have the hooves on the plate.,stop facing the girl.,start painting on the tree.,0
begin to groom horses.,start painting on the tree.,have the hooves on the plate.,stop facing the girl.,0
are getting screwed together.,are standing in the end.,gets to get excited.,begins to kiss him.,3
goes down another highway.,just dawns on what he sees.,drinks from a beer bottle.,walks down on the set.,2
walks down on the set.,just dawns on what he sees.,goes down another highway.,strolls over to someone.,3
sits holding the spinner.,is getting a haircut.,reads and spins the disk.,is standing next to him.,3
is holding his gun.,spies someone with someone.,sorts through the throng.,sprints across the road.,0
looks at his feet.,dangles in a barrier.,lies on top of someone.,lies on his back in the bath.,2
sits on the couch with him.,hands him a sheet of paper.,joins a magic girl on a sofa.,picks up a tray of shrimp.,1
are shown under the fence.,are sitting on the roof.,lay in the grass.,are shown trimming the hedge.,2
steps out of the jet.,watches with devastated eyes.,looks away from his mirror.,climbs onto the wreckage.,1
climbs onto the wreckage.,steps out of the jet.,looks away from his mirror.,stands at his grave.,3
wakes and stands up.,bites down on a long sink.,shows the candle posing.,runs over to help her.,0
stops using the clipper.,cleans the potato nails.,brushes her hair hair.,brushes her hair and combs.,0
"glances at her, anxiously.",enters in the kitchen.,crosses to an door.,gives a mischievous grin.,2
combs and dips a black brush.,tries to miss it's claws.,takes off and walks off.,runs around the shop.,3
has stick - blue tiles.,plays a set of drums.,sits on a balcony and talk.,is playing in a small field.,2
has stick - blue tiles.,is sitting on a bar.,plays a set of drums.,is playing in a small field.,1
falls off his back.,has caught the flagpole.,falls from the eagle.,comes out in flames.,0
scans the sprawling foyer.,pats on an orange computer.,takes off his tape.,turns his back to someone.,0
climb into a waiting taxi.,run along a rocky bank.,pull into a taxi.,run to another door.,0
opens a lion's cage.,turns a hand knob.,rubs the bird's head.,falls on his feet.,2
wins all four times.,takes a five score.,is acting so comfortably.,does a big jump.,0
does a big jump.,takes a five score.,is acting so comfortably.,runs towards the goal.,3
lifts his glasses and smiles.,hops atop the platform.,jogs to meet her.,hugs his adopted sister.,2
angrily shifts his gaze.,backs away from the wall.,kisses her on the cheek.,strips off the scarf.,2
talk with him at home.,looks back at someone.,play ping - pong.,hurry someone by his arm.,1
try to hit it.,sits down on them.,proceed to get shot.,help the distance.,2
tallies him into the run.,wipes off her lips.,furrows her brow and smiles.,lifts his lips to her chin.,0
fall off the steep roads.,glide across the windshield.,look out into the distance.,hurtle past a city.,1
talk with a bodyguard.,innocently sit at the window.,gather in the ceremony.,sit in their seats.,1
finished shoveling the yard.,gather in the ceremony.,talk with a bodyguard.,move out of the park.,0
sits in the armchair.,is both wearing earphones.,joins someone and his wife.,hands him a beer.,3
comes up to him.,joins someone and his wife.,is both wearing earphones.,sits in the armchair.,0
is sitting down next to her.,is standing next to her.,is watching one of the men.,is playing a set of bagpipes.,2
is flipped on the floor.,is placed on the counter.,is planting the counter.,is then drizzled over it.,3
are added onto its plate.,are poured into a pot.,get mixed and cooked.,is added with sugar.,2
are added to the pot.,are put into the oven.,are added to the pasta.,are added to the meat.,0
the team out for the cookies.,is placed into a pot.,downs in a credit card.,are around a salt sea.,1
gives her a wobbly look.,"hesitates, looking stunned.",kisses someone on the cheek.,pushes someone out of view.,1
goes through the paperwork.,snaps off the light.,runs across the way.,downs a shot with a fork.,1
winds up his rope.,is lifted down in many sides.,lets go into the navy.,rides the cow on the field.,0
puts a chain around his neck.,pulls the door closed.,is driven away by two women.,shuts the door behind him.,3
is driven away by two women.,pulls the door closed.,lies in her red chair.,continues down the hall.,3
turn to face her.,stand in the room.,look in in the middle.,come out in her way.,0
lays their meal down.,are still playing and drinks.,picks up a glass.,raise a clutch bag.,0
are still playing and drinks.,picks up a glass.,raise a clutch bag.,spread a tablecloth for them.,3
is flared open.,is not quite empty.,has been held before him.,makes it impossible.,2
has his legs shaved.,hangs onto a curved ceiling.,performs give high five.,rests on his desk.,3
leans on his desk.,puts on his jacket.,pauses and looks after her.,turns to look away.,3
pauses and looks after her.,turns on a light.,leans on his desk.,puts on his jacket.,1
walk over to it.,glow underneath the sofa.,get up from an spot car.,come in to get out.,0
line the wall behind him.,letters appear with a pencil.,flashes across the screen.,are lying on their knees.,0
is then on a green river.,floats up around them.,is also in the river.,is floating down the river.,2
catches someone's eyes.,spill down someone's cheeks.,turns off a resolute look.,leave her bedroom.,1
gets to the feet.,gets off the train.,gallops along the snow.,them in their wake.,1
portions of a butler.,combs the hair together.,adds blow drys her hair.,hair at a first dryer.,2
throws the snow off a taxi.,steps up to the bar.,peeks in the guest room.,uneasily touches his eye.,2
cleans at a beach hole.,is swimming in a crevasse.,is shown water surfing.,jumps in front of the camera.,1
begin to kiss passionately.,fling the boy from the kid.,shuffle in to other exit.,both lean against the bar.,0
presses a hand to his brow.,fires desperately.,picks up her sweater.,hands him the money.,2
walks into the room.,is cutting the grass.,is walking next to him.,is blowing all the leaves.,2
walks to a restaurant.,stands on front a man.,is taking a picture of them.,walks across the room.,2
rushes out into the corridor.,glares in the other windows.,climbs behind to his feet.,takes off his clothes.,0
puts on his reading table.,plays his button.,looks at his sleeping wife.,sucks her fist upward.,2
leaps to his feet.,is wearing a torn mask.,can be seen in surgery.,withdraws from the envelope.,0
are demonstrated by them.,are displayed on a table.,are molds in a bucket.,of care are shown.,0
are out on the screen.,are shown in the water.,are playing in a park.,are shown in a room.,3
go and serve the ball.,break and hug and shoot.,run onto the court.,hit the ball on the field.,2
return to his place.,break and hug and shoot.,hit the ball on the field.,go and serve the ball.,0
remain frozen.,exchange a knowing look.,nods on his hands.,walk together in silence.,1
gives her an admiring smile.,faces the young man.,strides back to her laotong.,spots feathers on her feet.,0
nuzzles with each other.,strikes him in the face.,smiles at the loving group.,"watches, slack - jawed.",2
are then placed on the egg.,are sitting on the counter.,are mixed with a sandwich.,are shown in the glass.,1
opens onto his partner.,is staring up at him.,tilts its head.,rests in a large case.,3
drags her to the sedan.,gallops at her feet.,falls off in front of her.,watches her chair disappear.,0
gallops at her feet.,watches her chair disappear.,collapses against the ground.,falls off in front of her.,2
stares up at the building.,falls in the trees.,looks over at someone.,runs up to him.,2
runs up to him.,stares up at the building.,shakes someone's hand.,falls in the trees.,2
has entered in background.,is alone in the center aisle.,looks a little confused.,"looks at someone, horrified.",0
are shown at a sink.,are shown for the camera.,are displayed in the kitchen.,are used to put on the sink.,2
are then washed as well.,are shown for the camera.,are shown at a sink.,are used to put on the sink.,0
strides off for the podium.,comes up once more.,lays down someone's newborn.,is leaving as she listens.,3
does her jumps a few times.,laughs in the first class.,helps her onto her horse.,comes to help her.,3
takes a second from her lips.,climbs into the cab.,comes away from the house.,looks down at her.,3
climbs into the cab.,comes away from the house.,keeps looking at him.,takes a second from her lips.,2
enters and enters the room.,arrives at his computer.,holds up his hands.,walks up to the bar and sits.,3
starts to open the phone.,looks out at her.,follows her down the street.,steps closer to someone.,2
lowers her into her arms.,looks out at her.,starts to open the phone.,comes forward bare - chested.,1
talks to the camera again.,looks surprised to see.,sits on the bed.,talks into a microphone.,0
are stacked with posters.,are stacked with snakes.,slide down the stone floors.,"are gaping, peering inside.",0
lets out a sigh.,heads out into his kitchen.,dons a baseball cap.,takes someone 'belt.,0
heads out into his kitchen.,dons a baseball cap.,takes someone 'belt.,pokes someone with the gun.,3
scurries down some stairs.,carries a trash bag.,uses an outdoor mirror.,leans in a mirror.,0
uses an outdoor mirror.,carries a trash bag.,makes it to a thin pier.,holds it for her.,1
makes it to a thin pier.,holds it for her.,passes the living room.,uses an outdoor mirror.,2
runs past a person.,chases after the baby.,comes out the view.,pass behind the girl.,0
comes out the view.,pass behind the girl.,chases after the baby.,walks around the area.,3
tilts the oar to her.,gives a stunned blink.,closes her eyes expectantly.,takes it from her.,3
tilts the oar to her.,is playing a smiling someone.,closes her eyes expectantly.,dives into the water.,3
plops onto the kitchen bed.,opens it and reads.,hangs up the phone.,takes the book and signs it.,1
heads back to someone.,drops on the table.,shows someone standing up.,rises on the table.,1
shows someone standing up.,heads back to someone.,lands in the dirt.,rises on the table.,2
runs to the stairs.,"falls face down, motionless.",yells back to his ear.,runs for the man.,1
rains down on him.,arms are now carved.,flicker on the bottom.,picks up another oar.,0
is busy held by a rain.,comes down behind him.,reaches the bottom fender.,has slowed down considerably.,3
flood out from behind him.,get into the car.,lie in the same direction.,lie huddled face to ceiling.,2
jumps into the ring.,rushes off of them again.,walks over to flags.,falls freighters behind him.,0
falls freighters behind him.,hits the side to tap out.,walks over to flags.,rushes off of them again.,1
shakes his head sadly.,grins at the teacher.,darts up from the wall.,storms to his car.,3
switches off the accordion.,breathes on his lungs.,beat the drums fast.,"is swinging, talking.",2
tries to look away.,almost throw off the church.,chase her out of the car.,stop them from view.,0
sit down and applaud someone.,stop them from view.,almost throw off the church.,chase her out of the car.,0
lies on a pink sheet.,is adjusted using pliers.,spins like a metal disc.,are shown on the ground.,1
looks outside the window.,sees him and startles.,stands up and close the door.,is gazing after his dad.,0
glides down the slide again.,interacts with one brown dog.,stands on her way.,steps up the slide.,0
protect the drive - on.,are lit with candles.,is ice running after.,pose at a sidewalk or ajar.,3
is ice running after.,make their way across a flat.,are lit with candles.,protect the drive - on.,1
pounces down on the goal.,is blocked by the goalie.,comes to their stop.,leads replays a slow motion.,1
is the driver of the car.,is wearing an unmarked hat.,"walks away, slowing his pace.",stops her bicycle car by her.,0
lifts his body insistently.,gets behind the car.,turns off the pursuit.,sees someone.,3
hits someone with the spear.,remains seated by the lounge.,speeds away from the ship.,relax as they compete.,1
waves to the crowd.,looks at him.,listens to the stripes.,pops onto the screen.,0
moves over to them.,"sits there, waiting.",slides to to another stop.,looks like a cop.,1
strides over to him.,does n't like what he came.,spreads out the blood.,slides open its door.,0
flips over the monkey bars.,begins spinning in circles.,jumps over the bars again.,stands on the bars.,3
runs off to investigate.,shoots an elegant look.,appears out of sight.,takes out her sawed.,0
see a 5 printed screen.,see a matador on the screen.,see the closing title screen.,see a full title screen.,2
see a matador on the screen.,see a 5 printed screen.,see the ending title screen.,see a full title screen.,2
hands over his sergeant.,raps on the horn.,stands on a metal ridge.,attempts to help him stand.,3
lands in the same position.,grabs one of the other.,hops on the girl.,lands on the pole.,0
steps through a small alcove.,drifts into the room.,steps close to the panel.,sleeps with his eyes closed.,1
turns and sees us.,massages his own hand.,drops his torch again.,stands in a corridor.,1
tries just leaving the water.,is sliced on jaggerman sub.,waves hulking at the caddy.,resumes tracking the pair.,3
sits on a velvet counter.,reaches an unpaved road.,slides out trails nearby.,is ground out in an alley.,1
falls to the floor.,falls on the floor.,spins the hoop four times.,dives to the ground.,0
falls on the floor.,adds balls to the hoop.,walks towards the camera.,dives to the ground.,2
dives to the ground.,jumps in the air.,adds balls to the hoop.,falls on the floor.,1
stands close to the door.,'s shadow inside the kitchen.,arrives outside her door.,emerges from the brothel.,2
emerges from the brothel.,'s shadow inside the kitchen.,stands close to the door.,staggers up the stairs.,3
lands over the block.,goes through the basket.,bounces off the floor.,goes to the bottom.,1
appears on the background.,begins shown in slow motion.,is shown across the screen.,shows how to shave your legs.,2
